Smoothing,Baseline,N_Groups_Detected,Detected_Groups,N_Peaks_Detected,N_Noise_Peaks,Score_Std,Score_Penalized
Median_Filter(3),polynomial_baseline(deg=4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,32,12,-20
Median_Filter(3),"asls(lam=1e4, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,33,12,-21
Median_Filter(3),"asls(lam=1e5, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",42,34,12,-22
Median_Filter(3),"asls(lam=1e6, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,32,13,-19
Median_Filter(3),airpls(lam=1e4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,32,12,-20
Median_Filter(3),airpls(lam=1e5),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,31,13,-18
Median_Filter(3),airpls(lam=1e6),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,32,12,-20
Median_Filter(3),arpls(lam=1e4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,32,13,-19
Median_Filter(3),arpls(lam=1e5),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,35,12,-23
Median_Filter(3),arpls(lam=1e6),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,32,12,-20
Median_Filter(5),RAW,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,32,12,-20
Median_Filter(5),detrend,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,34,13,-21
Median_Filter(5),linear_baseline,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,34,13,-21
Median_Filter(5),polynomial_baseline(deg=2),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,34,13,-21
Median_Filter(5),polynomial_baseline(deg=3),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,32,13,-19
Median_Filter(5),polynomial_baseline(deg=4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,32,13,-19
Median_Filter(5),"asls(lam=1e4, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,34,13,-21
Median_Filter(5),"asls(lam=1e5, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",42,33,13,-20
Median_Filter(5),"asls(lam=1e6, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,31,13,-18
Median_Filter(5),airpls(lam=1e4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",42,33,13,-20
Median_Filter(5),airpls(lam=1e5),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",42,33,13,-20
Median_Filter(5),airpls(lam=1e6),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,32,12,-20
Median_Filter(5),arpls(lam=1e4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,32,13,-19
Median_Filter(5),arpls(lam=1e5),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,35,12,-23
Median_Filter(5),arpls(lam=1e6),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",42,34,12,-22
Median_Filter(7),RAW,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,30,13,-17
Median_Filter(7),detrend,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,32,11,-21
Median_Filter(7),linear_baseline,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,32,12,-20
Median_Filter(7),polynomial_baseline(deg=2),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,32,13,-19
