Smoothing,Baseline,N_Groups_Detected,Detected_Groups,N_Peaks_Detected,N_Noise_Peaks,Score_Std,Score_Penalized
Median_Filter(3),airpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",27,14,20,6
Median_Filter(3),airpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",25,13,19,6
Median_Filter(3),arpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",30,16,21,5
Median_Filter(3),arpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",30,16,21,5
Median_Filter(3),arpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",31,17,21,4
Median_Filter(5),RAW,2,"C=C, CO2",2,0,4,4
Median_Filter(5),detrend,2,"C-O-C, CO2",2,0,4,4
Median_Filter(5),linear_baseline,2,"C-O-C, CO2",2,0,4,4
Median_Filter(5),polynomial_baseline(deg=2),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,11,19,8
Median_Filter(5),polynomial_baseline(deg=3),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,12,18,6
Median_Filter(5),polynomial_baseline(deg=4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",22,11,18,7
Median_Filter(5),"asls(lam=1e4, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",28,14,21,7
Median_Filter(5),"asls(lam=1e5, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",24,13,18,5
Median_Filter(5),"asls(lam=1e6, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",22,12,17,5
Median_Filter(5),airpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",22,12,17,5
Median_Filter(5),airpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,12,18,6
Median_Filter(5),airpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",22,11,18,7
Median_Filter(5),arpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",28,16,19,3
Median_Filter(5),arpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",29,16,20,4
Median_Filter(5),arpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",29,16,20,4
Median_Filter(7),RAW,2,"C=C, CO2",2,0,4,4
Median_Filter(7),detrend,2,"C-O-C, CO2",2,0,4,4
Median_Filter(7),linear_baseline,2,"C-O-C, CO2",2,0,4,4
Median_Filter(7),polynomial_baseline(deg=2),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",20,10,17,7
Median_Filter(7),polynomial_baseline(deg=3),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",20,10,17,7
Median_Filter(7),polynomial_baseline(deg=4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",20,9,18,9
Median_Filter(7),"asls(lam=1e4, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",25,12,20,8
Median_Filter(7),"asls(lam=1e5, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",20,10,17,7
Median_Filter(7),"asls(lam=1e6, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",19,10,16,6
Median_Filter(7),airpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",20,11,16,5
Median_Filter(7),airpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",18,9,16,7
Median_Filter(7),airpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",19,10,16,6
Median_Filter(7),arpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",24,13,18,5
Median_Filter(7),arpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",26,14,19,5
Median_Filter(7),arpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",26,14,19,5
"Percentile_Filter(5, 25)",RAW,2,"C=C, CO2",2,0,4,4
"Percentile_Filter(5, 25)",detrend,2,"C-O-C, CO2",2,0,4,4
"Percentile_Filter(5, 25)",linear_baseline,2,"C-O-C, CO2",2,0,4,4
"Percentile_Filter(5, 25)",polynomial_baseline(deg=2),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",24,12,19,7
"Percentile_Filter(5, 25)",polynomial_baseline(deg=3),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",24,12,19,7
"Percentile_Filter(5, 25)",polynomial_baseline(deg=4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",21,10,18,8
"Percentile_Filter(5, 25)","asls(lam=1e4, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",27,12,22,10
"Percentile_Filter(5, 25)","asls(lam=1e5, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,11,19,8
"Percentile_Filter(5, 25)","asls(lam=1e6, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",24,13,18,5
"Percentile_Filter(5, 25)",airpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",24,13,18,5
"Percentile_Filter(5, 25)",airpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,12,18,6
"Percentile_Filter(5, 25)",airpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",22,12,17,5
"Percentile_Filter(5, 25)",arpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",27,15,19,4
"Percentile_Filter(5, 25)",arpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",28,15,20,5
"Percentile_Filter(5, 25)",arpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",27,14,20,6
"Percentile_Filter(5, 75)",RAW,2,"C=C, CO2",2,0,4,4
"Percentile_Filter(5, 75)",detrend,2,"C-O-C, CO2",2,0,4,4
"Percentile_Filter(5, 75)",linear_baseline,2,"C-O-C, CO2",2,0,4,4
"Percentile_Filter(5, 75)",polynomial_baseline(deg=2),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,12,18,6
"Percentile_Filter(5, 75)",polynomial_baseline(deg=3),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",22,11,18,7
"Percentile_Filter(5, 75)",polynomial_baseline(deg=4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,12,18,6
"Percentile_Filter(5, 75)","asls(lam=1e4, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",28,13,22,9
"Percentile_Filter(5, 75)","asls(lam=1e5, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,12,18,6
"Percentile_Filter(5, 75)","asls(lam=1e6, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,13,17,4
"Percentile_Filter(5, 75)",airpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,13,17,4
"Percentile_Filter(5, 75)",airpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,12,18,6
"Percentile_Filter(5, 75)",airpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",21,10,18,8
"Percentile_Filter(5, 75)",arpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",25,14,18,4
"Percentile_Filter(5, 75)",arpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",27,15,19,4
"Percentile_Filter(5, 75)",arpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",25,13,19,6
